9.999999999999999791e-17,6.153367912347788328e-04,4.547665653754760394e-05,9.999999999999999791e-17,3.512330800511881623e+00,9.742996184880436950e-01,1.731353193007697078e+00,2.490251446150747086e+02,4.124112115518135252e-02,3.670774743519387151e+00
7.799651639707942674e-02,9.715005398786519253e-01,9.999999999999999791e-17,9.999999999999999791e-17,9.232483084280563190e+00,3.806425598278501687e-01,4.173291899808999339e-02,1.451753505428982649e+01,2.598944833227903248e-02,6.533594415556825297e+00
3.160990622882256353e-07,1.088987428445894690e+00,6.371892818230038280e-01,3.319954843671304789e-05,2.277977473211455361e+01,4.848103500466455218e-01,1.143783963239356716e+00,1.564961219857745256e+01,6.478396832297535213e-02,3.276207762141233104e+00
9.999999999999999791e-17,2.519558025260763667e+00,9.999999999999999791e-17,1.464138069841327931e-02,1.400935471863383963e+00,7.643968781863973161e-02,4.070910149394282307e-01,4.795661862721199431e-01,9.999999999999999791e-17,-2.848390473498322306e-01
2.088777622621666011e-05,6.322694390914379570e-01,9.040838875386033591e-01,9.999999999999999791e-17,1.300282149651740937e+01,5.570988125895767196e-01,1.199152633583814094e+02,1.396453506880302342e+01,3.919569311164096403e-02,1.718798073039544239e+00
1.442716494150984574e-01,9.999999999999999791e-17,9.999999999999999791e-17,3.996965950392356026e-02,3.411707966386048341e+00,6.447767366319728799e-01,4.324227946528496069e+00,1.438204016958983011e+01,9.999999999999999791e-17,1.268959788522784748e+01
6.400000627258995120e-06,9.999999999999999791e-17,8.415348380650767846e-01,9.999999999999999791e-17,3.660691558369497045e+01,3.282050223982093118e-01,1.454843323386224370e+02,4.136421970853687924e+01,7.306594184775305756e-02,1.894827365637566485e+00
9.999999999999999791e-17,1.492275781388434086e-01,9.719827732993164826e-01,2.507976646969727267e-05,3.164181351125509245e+00,6.788906786861610421e-01,3.376106109219804239e+02,5.861642470013347150e+01,6.320396711753528685e-02,1.108712601461251701e+01
9.207965935718223638e-03,1.868995103932027169e+00,9.999999999999999791e-17,9.999999999999999791e-17,2.375335662616493693e+01,1.931045885841048068e-02,3.977425739296992280e+00,8.522761722474173851e+00,5.949446581371299614e-02,2.490596839670260909e+00
9.999999999999999791e-17,9.999999999999999791e-17,8.399416150518566049e-01,9.999999999999999791e-17,2.994778499557427809e-01,9.999999999999998890e-01,4.350186482869550559e+02,2.858836525698782225e+02,9.999999999999999791e-17,1.000000000000000000e+10
8.295869261321779306e-03,1.405155986314904903e-01,5.792086626676106187e-01,9.999999999999999791e-17,2.180970420606096472e+00,7.207803808010625479e-01,2.175900864020187342e+01,4.014956429048495323e+01,6.361519189089781534e-02,6.325124590952345471e+00
6.065184931870201690e-02,9.999999999999999791e-17,9.999999999999999791e-17,1.318808232151592354e-02,9.475004773831281757e-02,9.007911723373189794e-01,7.771510532716230379e+00,1.302033413876440591e+02,9.999999999999999791e-17,1.508932560331383899e+00
